"Manuel Rodrigues de Oliveira";;
"Lêdo Ivo";;
"Jordi Virallonga";;
"Nélson Cruz";;
"Teresa Lima"; "1962"; ""
"Nuno Gomes dos Santos"; "1947"; ""
"César Príncipe"; "1942"; ""
"Isaac Abravanel"; "1437"; "1508"
"Raquel Henriques da Silva";;
"Isabel Galhano Rodrigues";;
"Isabel Lobinho";;
"Simona Traina"; "1972"; ""
"Catarina Rebello";;
"Louis Soler";;
"Rosa Maria Sánchez Aliaga";;
"Jorge Gimeno";;
"Mone Hvass";;
"Joaquim Vital";;
"Reinold Werner";;
"Henning Kramer Dahl";;
"Augusto da Silva Carvalho";;
"António Augusto Ferreira de Macedo";;
"Rodrigo da Fonseca";;
"Pais Abranches";;
"Barbosa de Magalhães";;
"Augusto Pina";;
"João Moreira de Almeida";;
"Francisco Grandela";;
"Brito Aranha"; "1833"; "1914"
"João Félix Pereira";;
"José de Almeida Eusébio";;
"Domingos Lavadinho";;
"Alves Correia"; "1860"; "1900"
"Alberto Virella";;
"Cecília Barreira";;
"José Luís Simões da Fonseca";;
"E. W. Sapega";;
"Carlos Machado";;
"Maria Aparecida Ribeiro";;
"Manuela Rêgo";;
"Brane Mozetic";;
"Celina Silva";;
"Alexandrino E. Severino";;
"André Velter";;
"Frank Henseleit-Lucke";;
"Maria Ruais";;
"Inés Oseki-Depré";;
"Álvaro Garrido"; "1968"; ""
"Diana Bellessi";;
"Nikica Talan";;
"Arnaldo de Pinho";;
"João Paulo Cotrim";;
"Ramón Gómez de la Serna";;
"Dominique Touati";;
"Jorge Sedas Nunes";;
"Dominique Bussillet";;
"Orietta Abbati";;
"Annabela Rita";;
"Guia Boni";;
"Jorge Humberto Pereira";;
"Alberto da Costa e Silva"; "1931"; ""
"Alexei Bueno";;
"Jorge Maximino";;
"Jorge Reis Sá";;
"Gil de Carvalho"; "1954"; ""
"Armanda Andrade";;
"Miguel Veiga";;
"Barbara Jursic Terseglav";;
"Francisco Marques"; "1931"; ""
"Francisco Lopes Cardoso";;
"Fernando Esteves";;
"António Gil Pinto";;
"António Pedro Fraga Aboim";;
"Rui Guedes";;
"Cláudia Pazos Alonso";;
"Karmele Setién";;
"Henrique de Vilhena";;
"Magali Montagné";;
"Ana Paula Tavares";;
"José Luís Tavares"; "1967"; ""
"Hiroshi Hino";;
"José Júlio Rodrigues";;
"Mineo Ikegami";;
"Maria Estela Guedes"; "1947"; ""
"José Blanco";;
"Paulo Silva Pereira";;
"Valmir Francisco Muraro";;
"José Antunes de Sousa";;
"Manuel Cândido Pimentel";;
"Carlos Leone";;
"José Ares Montes";;
"Luís Adão da Fonseca";;
"Ernest Martinez Ferrando";;
"Elena Gascón-Vera";;
"Adelino de Almeida Calado"; "1930"; ""
"Laura Castro";;
