id;nome;data_nascimento;local_nascimento;data_morte;local_morte;biografia;foto
10441;Pedro Vieira de Almeida;1933;Lisboa;2011;Porto;;
10442;Alves de Azevedo;1933;Lisboa;;;
10443;Ruy Belo;1933;S. João da Ribeira;1978;Queluz;;
10444;Carlos Brito;1933;Lourenço Marques (hoje Maputo);;;
10445;José Vieira Cabrita;1933;Olhão;;;
10446;Idalécio Cação;1933;Lafrana;;;
10447;António Cardoso;1933;Luanda/Angola;2006;Lisboa;;
10448;Carlos Lopes Cardoso;1933;Cête/Paredes;1984;Lisboa;;
10449;Lopes Cardoso;1933;Praia/Cabo Verde;2000;Lisboa;;
1045;;
10450;Maria Alexandra Cavaco Carrilho;1933;Loulé;;;
10451;José Manuel Ferreira Casaca;1933;Entre-os-Rios/Penafiel;;;
10452;Afonso Cautela;1933;Ferreira do Alentejo;;;
10453;João Bigotte Chorão;1933;Guarda;;;
10454;António Cirurgião;1933;Soutelinho da Raia/Chaves;;;
