Adams, Percy G.; 1914-
Adams, Poppy; 1972-
Adams, Richard; 1920-
Adams, Richard N.; 1924-
Adams, Robert; 1937-
Adams, Scott; 1957-
Adams, Sebastian C.; 1825-1898
Adams, Thomas; fl. 16--
Adams, William Davenport; 1851-1904
Adam, Ursula; 1950-
Adanson, Michel; 1727-1806
Adão, Aúrea; 1942-
Adão, Cabral; 1910-
Adão, César; 1980-
Adão, Deolinda M.; 1954-
Adão, Luís; 1887-1968
Adas, Eduardo; 1965-
Adcock, F. E.; 1886-1968
Adda, Jacques; 1959-
Addiction Medicine Annual Medical Scientific Conference, 1, Lisbon; 1995
Addinsell, Richard; 1904-1977
Addison, Joseph; 1672-1719
Adegas, Mário; 1935-
Adelaide, Maria; 1900-?
Adelbulner, Johann Ernst; fl. 1699-1737
Adelino, José Madeira; 1888-1963
Adelphus, Johannes; 1485?-1523
Adelson, Monteiro; 1980-
Ademar, Carlos; 1960-
Ademollo, Alessandro; 1826-1891
Adenauer, Konrad; 1876-1967
Adenis, Eugène; 1854-1923
Adensohn, Cristina; 1955-
Ades, Dawn; 1943-
Ad Hoc Expert Group Meeting on Industrial Co-operatives, New York; 1967
Adichie, Chimamanda Ngozi; 1977-
Adidevananda, Swami; 1912-1983
Adiga, Aravind; 1974-
ADINA Conference, Cambridge, Mass.; 1977
Adlard, Charlie; 1966-
Adler, Alfred; 1870-1937
Adler, Atanásio Desidério Gomes Mendes; fl. ca 1810-1812
Adler, Elkan Nathan; 1861-1946
Adler, Guido; 1855-1941
Adler, Israel; 1925-
Adler, Jakob Georg Christian; 1756-1834
Adler, Max; 1873-1937
Adler, Mortimer J.; 1902-2001
Adler, Sabine; 1963 -
Adler, Saúl; 1895-
Adler, Victor; 1852-1918
Administração de Bairro; 4o (Lisboa)
Administração Pública, 3, Sesimbra; 1994
Administração Pública, 4, Costa da Caparica; 1995
Administração Pública, 8, Luso; 1999
Adolfi, Franz; fl. 1912
Adolfo, Ricardo; 1974-
Adolphus, John; 1768-1845
Adonias Filho; 1915-1990
Adorno, Theodor W.; 1903-1969
Adouard, Antoine; 1956-
Adoul, André; 1919-2005
Adragão, José Vítor; 1945-
Adriá, Ferran; 1962-
Adriani, Alfonso; fl. 1572
Adriani, Marcelo Virgilio; 1464-1521
Adriani, T.; fl. 1915
Adrian, Lara; 1966-
Adriano, Maria Alcina; 1950-
Adriano, Vicente; fl. 1799
Adrianus Cartusiensis, ?-1411; O. Cart.
Adrianus, Flavius; 1--
Adrião, José; 1965-
Adrião, José Maria; ?-1937
Adrião, Melo; 1909-1963
Adrião, Vítor Manuel; 1959-
Adso de Montier-en-Der, ?-992; O.S.B.
Adurza, Pedro de; 1584-1595
Advanced Workshop on Environmental Sampling and Monitoring, Estoril; 2001
Advancing Performing Arts Project, 5, Torres Vedras; 2006-2007
Advisory Group Meeting on Case Histories of Uranium Exploration, Viena; 1979
Advisory Group Meeting on Evaluation of Uranium Resources, Rome; 1976
Advisory Group Meeting on Nutritional Evaluation of Cereal Mutants, Viena; 1976
Aeelah, T. C.; 1972-
Aegidius, Corboliensis, fl. 12--; O.S.B.
Aegidius de Fuscariis; -1289
Aelianus, Claudius; ?-ca 260
Aelianus, Tacticus; fl. 100
Aelst, Nicolaus van; 1527-1612
Aeneas Gazeus; 4--
Aertssens, Hendrik; 1586-1658
Aetius de Amida; 5--
Afanásiev, Aleksandr; 1826-1871
Afanasyev, V. G.; 1924-1994
Afferden, Francisco de; 1653-1709
Affligemensis, Johannis; fl. ca 1100
Affò, Ireneo, 1741-1797; O.F.M.
Affonço, Denise; 1944-
Afilhado, Alexandra Maria Mota Guerreiro; 1963-
Afins, 2, Porto; 1991
Afonseca, Isaura; 1966-
Afonseca, João Tomás de; fl. 16--
Afonseca, Manuel Francisco; fl. 1677
Afonso, Adelaide Emília; fl. ca 1855?
Afonso, Agostinho Caetano Brás da Costa; ca 18--
Afonso, Agostinho Caetano Correia; 1886-1951
Afonso, Alberto; 1960-
Afonso, Alberto António Moreira Caldas; 1955-
Afonso, Alberto Telésforo de Vasconcelos; 1942-
Afonso, Alexandre Miguel Prior; 1977-
Afonso, Alípio Martins; 1932-
Afonso, Almerindo; 1955-
Afonso, Álvaro; 1903-
Afonso, A. Martins; 1902-1989
Afonso, Américo dos Santos; 1959-
Afonso, Ana; 1977-
Afonso, Ana Catarina Caetano Certal; 1971-
Afonso, Ana Isabel; 1960-
Afonso, Ana Maria; 1960-
Afonso, Ana Paula Pereira; 1965-
